#taxonomy	sample1	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample11	sample12	sample13	sample14	sample15	sample16
k__Bacteria;NA;NA;NA;NA;NA;NA	1.99847747035635	1.77837172586403	1.94021035689823	1.44660129260863	1.89720944331148	2.09239552273354	2.28369358880155	2.59642959108971	2.21649457325841	2.33181685285993	1.8118994079973	1.94778320452041	2.35225019729018	1.92385977343746
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	-3.33018764563052	-2.94904491081198	-3.58592843559859	-3.11513933545213	-3.28695324904087	-3.20205588133885	-3.54052053863405	-3.56726317976107	-3.87568791850135	-3.84196925104201	-2.81401678836661	-3.27183983466233	-3.65175098338486	-3.92818103766167
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-3.22566624994534	-1.60262294848061	-3.10964565035131	-1.03569779377229	-2.85638074779488	-3.24509858661679	-2.52237453955343	-3.44560789091703	-3.82821035461827	-2.58920628254664	-2.79653118610321	-3.22920218440827	-2.61059443296973	-2.60226720521018
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-3.71863932975166	-2.74130996631881	-3.61074441874775	0.0835337820985554	-3.11810952624116	-3.16081644836055	-3.67336019863523	-3.59851803594601	-4.19762067242998	-4.28268901499609	-2.52968830587822	-3.24749298766343	-3.98112862914781	-4.07688307915631
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-3.61136575301547	-3.07363121959874	-3.3465724123138	-4.13615376327941	-3.13196241078345	-3.19153686387036	-3.75555674016788	-3.4693196945749	-3.91210723966538	-4.21958619994906	-2.70434186101838	-3.43348780598386	-3.75654445056406	-3.92321280361566
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-3.12148327494147	-2.82816541124271	-3.57321668368627	-4.08412422093119	-3.28525053702612	-3.20631366779075	-3.71705847458856	-3.69577385938881	-4.10037625418579	-4.07622157185566	-2.93809948753264	-3.29135906619961	-3.64212423530985	-3.99684656605211
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	-2.50133219997392	-2.89165618240886	-1.40489755811288	-1.79338349546981	-2.85638074779488	-2.3962408469986	-2.11690943144527	-2.71677638795208	-1.66744546342691	-3.14882207048207	-1.69964603083372	-2.45077273210469	-1.69430370109557	-2.41994564841622
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-2.50133219997392	-2.77744077770632	-3.46562537051195	-4.65089386748671	-3.3858834912986	-3.34178031148781	-3.50034914391755	-3.33296809216652	-3.96942803702244	-2.7433569623739	-2.82101538837964	-3.09911971812536	-4.07676931795052	-3.76154195791948
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-1.40271991130581	-1.13261931923487	-1.40489755811288	-1.32337986622407	-0.841477727252617	-1.00994648587871	-0.864146462949902	-0.0541885609266255	-0.900190310713247	-0.153089796928074	-1.00649885027377	-1.35216044343658	-1.05244981492318	-2.26579496858896
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	1.66274570026286	2.22601844800849	3.09693027637362	1.88712770897361	2.49547738568119	1.83302303312287	1.28428795021689	1.38310835464564	1.39522629280219	1.83820335797506	1.35671086453671	1.76382095826899	1.97692081777964	2.12157451049541
