#taxonomy	sample1	sample2	sample3	sample5	sample6	sample7	sample10	sample11	sample12	sample13	sample14	sample16
k__Bacteria;NA;NA;NA;NA;NA;NA	1.14937075889879	1.06526957996071	1.11195967126537	1.61832044385277	0.939325773538456	0.831369891074898	1.12691819202297	1.10476834790653	1.72337243816864	1.37991294237603	0.814960878891063	1.1426475408409
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	0.813441852907624	0.921061316494788	1.39240407641692	1.01266071741594	0.446849288440662	1.40445040858732	1.25595838220399	1.01900152614911	1.49181368992915	1.7853780504842	0.499107929472586	1.29679822066816
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-1.46287531326581	-1.53382943735295	-1.16530761374439	-1.67466335316916	-2.08457737698223	-1.69071576195486	-1.45707936040926	-1.22403258721841	-0.861323682227729	-0.679325891986282	-1.75695714788657	-1.23689859328927
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-4.06556499871019	-3.86920435316998	-4.30037298751515	-3.54646553007075	-3.73586185337576	-3.39546385419328	-4.04734652585509	-3.59115620135002	-2.365401079004	-3.20505453629454	-3.7128700337039	-4.02972456162747
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-1.46287531326581	-0.960483456605622	-0.536698954322012	-1.34924095273453	-1.54558087624954	-0.792774168748898	-0.828470700986888	-1.13442042852872	-1.11263811050864	-0.314682778398373	-1.26448066278877	-0.766894964043538
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-0.0582318134777238	0.0691359605755362	0.583892241064873	0.179227897165906	-0.504127001421383	0.280836817713794	0.395304730635228	0.17391239112146	0.561338323063036	0.736527271375153	-0.0439785565116262	0.267178803487001
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	1.50468608332148	1.73168369832359	2.25036778709842	2.48901590245401	1.70930538614169	2.66832135449433	2.12435407155583	1.87549648001723	2.44813737271614	2.51689524231711	1.86617092866459	2.45945287566336
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	2.11961428902119	2.31425701625537	2.74107451179367	2.2358200060734	1.7625260823466	2.51938959054286	2.59904398899264	2.36640679408228	2.78209339780945	2.89189551865942	2.01056543354648	2.54729104062899
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-2.6792706375903	-3.17605717261004	-3.02160560411001	-3.14100042196258	-3.56156795954192	-3.39546385419328	-2.6610521647352	-3.30347412889824	-3.71179237274903	-3.61901519394517	-3.94686441163607	-3.16284903187854
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-0.0673642970409964	0.208333090735736	1.05253625079457	0.203038545859624	-0.180339924327486	0.130896670422879	-0.317645077220897	-0.352477749185642	0.29718674802145	0.445603704999201	0.0195348492106996	0.267178803487001
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	0.251923114826116	0.557636297293691	1.18606764341909	0.635584612570459	0.0638570361845566	0.354040221737089	-0.225977888695074	-0.365635833763153	0.655023807140359	1.00707306158395	0.107827456356378	0.538053757622401
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	0.265168341576136	0.196969332085421	1.00016826527725	0.237724103847514	-0.504127001421383	0.268097791936364	-0.445478448730782	-0.372280376481821	0.342649122098207	0.556145579399025	-0.20360870210351	0.31066391542674
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	-0.327895380426827	-0.139502904535792	0.626451855483669	-0.179169700084273	-0.772390988016062	-0.562250510137066	-0.956304072496773	-0.839620888308073	-0.186868634679936	-0.0695603203653877	-0.543934508040713	-0.138286304621163
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	-0.376685544596258	-0.139502904535792	0.139641107921552	1.33254132154707	-0.246297892119283	-0.304421400834966	-0.169225072102624	-0.241252114075417	0.725641374354313	0.793146165374661	0.344957249645328	0.31066391542674
