#taxonomy	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample10	sample11	sample12	sample13	sample14	sample15	sample16
k__Bacteria;NA;NA;NA;NA;NA;NA	2.52391491222657	2.15108333028448	1.98687113055377	2.3969905067922	1.93818503728975	1.91409461008492	2.46402683434915	2.78059431536376	1.58709275742266	1.25012776606228	2.20492301636893	1.30683810761425	0.727616601274132	1.84761283529128	3.20053776659186
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	1.47387059019337	3.11052873758874	2.66844261915583	1.50559732653978	1.3522833870834	1.13199994350848	2.14735722502412	2.66404661031537	2.71591882468727	1.83300422598331	1.74868558288734	1.63555836743114	0.309881400574153	0.657529143126014	1.9813510936301
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	3.01193183978524	4.56965550625214	3.9490889430518	3.27105770222081	2.27533090142044	2.55818563365567	3.74098453143158	4.6392843744652	4.31978569207192	3.08982998861747	2.88310732425216	2.89524561231111	1.8043102042346	2.74555442849724	3.2904485367405
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-3.0259390801369	-2.52485592659182	-1.90239488775176	-3.29842371819348	-3.09582909876975	-2.10309393854468	-1.40473128880068	-2.30576668926063	-3.01107856014242	-3.20654241160736	-2.32723897808126	-3.22037053690413	-3.79195970042117	-2.70976668686046	-2.45894444916776
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-1.45732316222305	0.258095582683508	-0.318274783301946	-1.04713191958699	-1.33895969570243	-1.01976225975098	-1.23382893375	-0.0440035907868446	-0.328603613036152	-0.790628633306316	-1.02390313935244	-1.02314595956791	-1.88734317676207	-1.72893743384873	-1.29579363936208
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	0.0185833575865274	1.70197781867636	1.28085375947329	0.0426697393989684	-0.37387879965884	0.0788500289171253	0.613426865098165	1.14739043133223	1.23827468497915	0.563917029498994	0.767856329875613	0.26853242517713	-0.99352530073997	-0.311871414062089	0.546738155239401
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	2.94379097482508	4.09143234833557	3.70156725162223	2.8284454659207	3.01614528140519	3.33694656693861	2.8883604267617	3.19549152128409	3.27440018255208	2.45293980415226	2.06713931400587	2.0983620143865	1.75024298296432	2.42799061467514	3.40582244489427
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	2.40865590470369	4.15348618806251	3.78458046858806	2.43005136905309	1.87991612916577	2.48879364023167	2.54626493258613	3.62222543489177	3.74681293930043	2.98990171618716	3.16575160267398	2.81421336377279	1.30905979225408	2.13442039959813	2.83737091470961
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	2.10750364322091	1.67734603148669	1.54361650970019	2.15261473537222	1.22598966175911	1.9455108063183	1.87909323842944	2.49002385633611	1.20287275792824	0.526353927923346	1.70067636370098	0.75227709034045	0.0425666309468058	1.808392122138	2.69087290906183
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	0.776269059284044	0.940879976207907	0.308623011716798	0.319228226632087	0.410240159106832	-0.144293522397084	0.0072910615278496	0.243678481664936	1.25551649141366	-0.241269345538083	-0.618438031244277	0.56665597834933	0.192098364917769	0.318755409516522	1.03756311229872
