#taxonomy	sample1	sample2	sample3	sample4	sample5	sample7	sample8	sample9	sample10	sample11	sample13
k__Bacteria;NA;NA;NA;NA;NA;NA	1.5083268046589	0.820301684493456	0.895666680354968	1.42156951461267	0.913659979050355	0.826671096525593	0.890158966699914	0.599288979607413	0.889727522657308	2.17755948837942	1.0925842793407
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	0.808587642416801	1.52188773369927	0.306316293476667	0.184806887463742	0.308374154281744	0.769147252387406	0.108064300123472	-0.904788417168861	-0.624400209972467	-0.4756824762278	0.148122670499851
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-2.23593479530662	-1.64779784697816	-2.08456140666306	-1.67594545325126	-0.753536767535938	-1.54668306735666	-2.95998863501014	-2.64090178116077	-1.92368319410273	-2.81744768913343	-2.89639976722357
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-4.61639806792426	-3.63569898132662	-4.1349969605833	-4.09766128206335	-3.935476130234	-3.56158608789892	-3.36186033716666	-3.32408290247656	-2.83904080481918	-3.07177931703475	-4.57065709211751
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-1.34211691928453	-0.583087109985735	-1.31730625394939	-1.75005342540499	-1.59186595794038	-1.54668306735666	-1.70722566651478	-2.79948979200743	-2.50643251335612	-1.39197320810195	-1.95193815838272
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-0.64896973872458	-0.0383599345440632	-1.35367389812027	-1.48178943881031	-1.474082922284	-0.699385206969456	-1.86137634634204	-2.29108277828875	-2.32914830221089	-2.0851203886619	-1.54647305027456
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	1.96626716277189	2.7317256574776	1.48605412695714	1.70844481009451	1.6662305800811	2.34104724550244	2.19906666420438	1.49310685562951	1.32150993908285	1.59539081578152	1.44740565463011
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	1.78444423475915	2.47286402356131	1.21978614900918	1.06489457067394	1.18462140471506	1.53522690243838	1.15904853980233	0.599288979607413	0.411691721714309	1.09293344168605	1.12639764370648
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-4.78744025033604	-4.06073329779935	-4.31355112506598	-3.95850831309339	-4.32489311904326	-4.09839135787671	-3.33105125872547	-2.62052506018862	-2.8544336196165	-2.78806351800506	-4.4393769646414
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-0.381374424839536	0.208500143387463	-0.230670156327996	-0.731483844410413	-0.432629047455836	0.498856922647495	-0.475081985222145	-1.3747920464146	-1.41285757033674	-1.57429476489591	-1.2047237565525
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	-0.434958670973643	0.367105173564101	-0.401015522075235	-0.601430716162216	-0.557792190409842	0.650541509979559	0.0357436385438458	-0.586334686050327	-1.41285757033674	-0.69882602754201	-1.31594939166272
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	-0.491577564973151	0.44406621470023	-0.345445670920424	-0.849266880066797	-0.413210961598735	0.589453817999721	-0.0977877540806766	-1.03831980979338	-1.41285757033674	-0.986508099993791	-1.25879097782278
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	-0.795573212916455	-0.14372045020189	-1.09416270263518	-1.42463102497036	-1.03225017000496	-0.006238026409511	-1.25524054277172	-1.3747920464146	-2.32914830221089	-2.6489496844947	-1.79778747855546
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	-0.235957424981033	0.160490924201102	0.400345243124943	-0.125348040840098	-0.0337213398938311	0.749213037486589	0.650929277634079	-0.904788417168861	-0.383238153155579	0.112104188674319	-0.667922646383249
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;NA	-2.03526409984447	-1.31132561035695	-2.85775129489654	-3.62185560230658	-2.97816031906027	-1.95214817546482	-1.86137634634204	-2.63920126860763	-2.77377996021587	-2.90049083463107	-2.89639976722357
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	-1.66057065040306	-0.772329109624264	-1.70507178495815	-2.92870842174663	-1.96655940738179	-1.48214454621909	-1.57369427389025	-2.89355966612187	-2.51912601398062	-2.0851203886619	-2.35740326649089
