#taxonomy	sample1	sample2	sample3	sample4	sample6	sample7
k__Bacteria;NA;NA;NA;NA;NA;NA	1.26372348937992	1.35756367314544	1.57833909011016	1.9489126750159	1.49059853418351	1.61044679396916
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	3.09807678152758	3.06142876311898	2.13871045042758	2.43515282330927	1.51143262108635	2.48899719786047
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-3.35633530910193	-3.00243806190942	-3.41541357401902	-1.8941174589253	-2.90703289106601	-2.93815304053054
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-3.62814689496381	-3.37427673407834	-3.75564344214022	-3.39819485570157	-2.92423092251611	-3.21200704840599
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-2.95087020099376	-2.17855302641609	-3.47650327937496	-3.91025257624757	-2.61766367168258	-3.13376548877165
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-2.44004457722777	-2.74436329129988	-3.26122876834257	-2.99272974759341	-2.89044172208973	-2.53268793242238
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	5.95380514795143	5.75822625442744	4.94618211573272	5.29981876638236	4.28723781441697	5.35289209055119
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-0.242819999891552	0.219342246382282	-1.58396638326965	-1.0002995829032	-1.45384044498293	-0.495806005161335
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-2.10357234060656	-1.33125516602889	-1.71749777589417	-0.795505170257186	-1.27151888818898	-1.14639357130248
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-3.74645075619767	-2.99544917213633	-3.34845590808171	-3.80795476508678	-2.75984425325041	-2.53268793242238
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	-3.77155993089462	-2.99645732226239	-3.41578257943813	-3.74996844564195	-2.76925354966823	-3.33929134479555
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	-3.78021799772301	-2.96215170450407	-3.37922701786296	-3.81889998265107	-2.79932844875417	-3.3228061370981
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	-3.66398884020288	-2.9882232479018	-3.38686560182744	-3.8093545142765	-2.88414243285818	-3.21659536376899
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	-2.95087020099376	-2.89446282346786	-3.52481590950945	-3.8643331053161	-3.1642267375136	-3.395472020673
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;NA	1.87744353630854	1.20017149939401	0.165233471539609	0.462534855339025	-0.29068963517725	1.28868070473764
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	2.87316140181402	2.24828762404759	1.26384576020772	1.53627907742912	1.06385602762806	2.3035939745291
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter pamelaeae	2.38666787870756	0.711818731480076	0.000153721180160691	0.0675410470981563	0.155597467451169	1.17272082364277
k__Bacteria;p__Bacteroidetes;NA;NA;NA;NA;NA	1.14347436122834	1.25543417806906	1.57303403788046	2.0740758179699	0.962073333318118	1.6819057579513
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA;NA;NA	5.30668833052585	5.73338175418599	5.93117391868323	6.15406716356399	5.54192571132192	6.14526263787198
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;NA;NA	0.604477860495652	1.04032279845211	0.802500193705098	1.42611086020319	0.848744648011115	1.53348575283303
