#taxonomy	sample1	sample2	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample13	sample14	sample15	sample16	sample17
k__Bacteria;NA;NA;NA;NA;NA;NA	0.984596591778679	0.434357959120407	-0.16524235791867	0.849711235266437	-0.013116635860678	2.41962544024831	0.351110792798944	0.898138229604005	0.344861663039127	2.36507482198483	2.10501045827762	0.768336218957811	0.561475700496994	0.578581121166817
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	-0.458111858621303	-1.53839943997109	-1.55153671903856	-0.116729280293189	-0.013116635860678	0.422527044339553	0.541154395686809	-0.389716058702633	-0.823085319030047	-1.06046162798259	-0.351725314543687	-0.0966612185287933	-1.18068682759169	-0.807713239953073
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	1.38865424011896	1.11417160881089	0.905199053782743	2.19013236946812	2.08402448291856	2.27606387326385	2.13313308674914	1.09684775558093	0.822610341426677	1.28468307943025	1.79225474827372	1.68462695083197	0.922660234941701	1.70072390724512
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-4.22519081967601	-3.88977469713457	-2.54479465669677	-3.98075745963413	-2.92456593926032	-3.43233862187981	-3.83078153149286	-4.22442494759339	-4.58917644394978	-3.92094429542346	-3.4970442753823	-2.78283726123751	-4.5298687189807	-2.54094552323978
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-3.79031636879651	-4.09018161199886	-2.52680384735462	-3.6720773417826	-2.78261529336113	-3.39082067989741	-3.00462421478645	-3.99645109747937	-4.30432540836574	-3.95400224446334	-3.77610035111697	-2.90627918678218	-4.3235602924836	-2.33357689407303
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-3.38485126068834	-4.28225092462203	-2.3937585954395	-3.6720773417826	-2.58079080189051	-3.63632301539271	-3.54430855950013	-3.44998685339419	-4.30432540836574	-3.84875207120292	-3.42370567001515	-2.55065288780749	-4.13220785263846	-2.06047620844844
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	2.29304344301573	1.42834529670964	1.82718780677154	2.24277610295354	2.46382184427815	3.01205864520643	3.20463627730914	2.44716701424255	1.923198915323	1.94392870831452	2.57322677694926	2.32924709049725	1.4629682112722	1.97376442970395
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-4.01049103892782	-3.88977469713457	-2.47559205985656	-3.93147635384546	-2.36449189302416	-3.63073351897151	-3.00462421478645	-4.143006960397	-4.47534612878984	-4.0907874598581	-3.0597755156459	-2.4659531947852	-3.22837967095694	-1.65501110034028
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-4.00845284598413	-3.19662751657463	-2.6421536757449	-3.96990663933409	-2.6831735753339	-3.52224336664056	-4.09184948024267	-3.85545196150236	-3.61117822780579	-3.50280866335179	-3.4953250238134	-2.47243991535683	-3.92152685151689	-2.46578370385459
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	0.506969037422284	-1.0275738162051	-2.3679754379598	-1.72616719272729	-1.67134471246421	-0.133419014706907	0.809418382281489	-0.244534048858135	-1.59627520726353	-1.89337075091769	-1.67348115452601	-0.384343290980574	-1.24737820209036	-0.807713239953073
