#taxonomy	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15
k__Bacteria;NA;NA;NA;NA;NA;NA	0.745768638072148	0.860294928264951	0.635068243949872	0.96527162341551	0.750717426766258	0.858247800607123	0.859103161206688	0.64779854429307	0.967576663519791	0.311814557437294	0.602941250806031	0.739957852973685	0.759964784803584	0.966466835020392	0.301637965542881
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	-1.01781995418921	-0.633630097047305	-0.23135065788411	0.414094704125952	-0.764055259126764	-0.974333663141188	-0.68942599814042	-0.487181388545915	-0.4187176976001	-0.81419670541893	0.706738044487675	-0.764119543802589	-1.22790956335076	-0.733310244496012	-1.30779994689122
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	1.62123737542605	1.54318560865771	2.04105381795994	2.78763153309228	1.96316485808317	1.59061569432035	1.47441935712196	1.63308214765418	1.81932887425637	2.05275477826914	3.06146114542084	1.63040304451714	0.980364850172043	1.32778215851563	1.0593236672404
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-0.244630065955729	-0.30149626202469	0.377239134647772	0.895067364742261	0.502437902180506	-0.751190111826978	-0.810053985929035	-0.487181388545915	0.67989459106801	0.311814557437294	1.42079190986693	-0.0346047190717687	-0.0647587535450809	-0.105914441498848	0.158537121902207
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-2.63443974710985	-2.62606026173751	-3.41764095317044	-2.41911863993026	-3.79257735550375	-2.13352224062965	-3.78046845149874	-2.40631942831856	-2.13174195363983	-2.60595617464699	-1.76418236332559	-4.36505623989039	-3.14355514520834	-3.64203114106037	-2.72009496848343
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-2.45328350441834	-3.72467255040562	-3.63374581083255	-2.77460325430683	-3.0994301749438	-2.32674979353417	-4.12540018378886	-2.36220201013229	-1.80501205871999	-2.60595617464699	-2.8627946519937	-4.05995640980692	-3.18813908257334	-4.4830473219644	-2.92174253998806
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	1.62123737542605	1.45147718216821	1.90073461728115	2.31707980846423	1.43853126135084	1.46801337222802	1.26295666542051	1.14423543060696	1.50917394595254	1.56070904915474	2.40506350706963	1.14129924389799	1.12346569381272	1.26077144823267	1.0593236672404
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-2.81107170992846	-4.13013765851379	-3.40902023295161	-2.65584518800796	-3.79257735550375	-1.96791003006171	-3.37500334339057	-2.37940981834009	-2.5994496656367	-2.82986568962556	-3.10327470649731	-2.80719344131155	-4.07495738223459	-3.64203114106037	-2.78359731666858
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-2.11643224285732	-1.93291308117757	-1.89635842147302	-2.92315557580085	-3.50489528305196	-2.23637243314236	-1.10631980207221	-1.99125878532219	-2.02726807107186	-2.7771096401309	-3.29076142833871	-2.1140462607516	-0.965545298883271	-1.18529536823907	-2.00094712745117
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-1.71096713474916	-2.62606026173751	-1.35736192074033	-1.03282427881037	-1.71313581382391	-0.974333663141188	-1.90866627459714	-1.58579367721402	-1.11186487816005	-2.20049106653882	-1.07103518276564	-2.45051849737282	-2.83734747578486	-2.66120188804865	-2.40641223555933
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	-1.20014151098317	-2.62606026173751	-2.74365628186022	-0.809680727496164	-2.00081788627569	-2.0335397805424	-2.52770548300337	-1.99125878532219	-2.18618100629925	-2.93093093414789	-2.16964747143375	-3.65449130169875	-2.83734747578486	-3.64203114106037	-2.76639288328033
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	-1.71096713474916	-2.52069974607969	-1.64504399319212	-1.32050635126215	-2.00081788627569	-1.66748084370113	-2.52770548300337	-2.41914714055227	-1.80501205871999	-1.68966544277283	-1.15804655975527	-2.1140462607516	-3.22231834805002	-2.54341885239226	-2.80038773626088
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	-1.71096713474916	-2.33837818928573	-1.64504399319212	-1.1663556714349	-1.0410420424618	-0.974333663141188	-2.27639105472246	-1.58579367721402	-1.99574866925722	-2.20049106653882	-1.15804655975527	-2.96134412113881	-3.13715102347417	-2.54341885239226	-2.40641223555933
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	-0.244630065955729	-0.248573860570348	0.332118699367302	0.671923813428051	0.30730738709397	0.583810954905362	-0.448263941323532	-0.892646496654079	-0.100263966481565	0.507559134563389	1.44800447339182	-0.17839261186348	-0.311618831476607	-0.0678145952665773	0.0784944142286709
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;NA	-2.57176921225627	-4.13013765851379	-3.61649941436924	-2.41911863993026	-2.40628299438385	-1.66748084370113	-2.86417771962458	-2.44957478325106	-2.24968776338058	-2.98498330964087	-2.45732954388553	-4.05995640980692	-3.22978630746647	-2.10158610011322	-2.73985428316257
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	-2.11643224285732	-2.87737469001842	-1.89635842147302	-2.0136535318221	-1.89545737061786	-0.974333663141188	-2.52770548300337	-2.34417449519617	-2.01202901261906	-2.20049106653882	-1.35871725521742	-2.18815423290533	-2.4318823676767	-2.25573677994048	-1.71326505499938
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter pamelaeae	-2.42783639515732	-2.05069611683395	-2.23283065809423	-0.547316463028673	-1.15352002588849	-0.751190111826978	-1.64040228800247	-1.58579367721402	-1.80501205871999	-0.90120808240856	-0.33706600768544	-1.61760937443771	-1.04558800655681	-0.979443314034921	-0.460502086504016
k__Bacteria;p__Bacteroidetes;NA;NA;NA;NA;NA	0.134859555749175	0.318378717428929	-0.258749632072225	-0.0677433827667869	0.158666363077682	-1.26201573559297	0.42422416789223	0.0881827563576469	-0.0132525894919353	-0.208060901848615	-0.188646002567167	0.230503031341473	-0.198290146169604	0.38925528519459	0.035934799809875
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA;NA;NA	5.03112702833213	5.27214451363334	4.99975795897048	4.68173326901379	5.27181196098813	5.42051048558394	5.54489559704623	5.27312143634864	5.45866788281018	5.23376631559431	5.38847795875227	5.14265416410732	5.2729295552559	5.32048869188916	5.60726190727336
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;NA;NA	-1.20014151098317	-0.546618720057675	-0.751226117170019	-1.50282790805611	-0.902205597607581	-0.568868555033023	-0.0791664773862427	-1.29811160476224	-0.706399770051881	-0.408731597310766	-0.990992475092104	-0.518997085769604	-0.129297274682652	-0.581760346368812	-0.614652766331274
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;NA	6.603293545969	6.93024681396126	6.66373004230829	6.09697394604194	6.88353838908256	6.87235407819593	7.20175175944467	6.94181178454952	6.93979467868191	6.79049025054084	6.8656845370427	7.00150451018133	7.06950939422087	6.88116334562147	7.14314659870609
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides barnesiae	-2.58153022742214	-2.05069611683395	-3.14912138996839	-2.91622754911706	-1.89545737061786	-2.09729632549705	-1.64040228800247	-1.29811160476224	-1.80501205871999	-2.7306460380453	-2.16964747143375	-2.04505338926465	-1.22790956335076	-1.85027167183232	-2.00094712745117
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	-0.50699433042322	-0.208164322232471	-0.584172032506852	-0.339677098250429	-0.369401067122815	-0.0580429312670325	-0.18315619091029	-0.487181388545915	-0.888721326845835	-0.00326648920260152	-0.56020955899965	-0.34638434310261	-0.891437326729549	-0.450183988580092	-0.326970693879494
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caecimuris	-0.101529222315055	0.402461834639471	0.007879031181724	-0.547316463028673	0.345252318658094	0.411960697978703	0.613980703173703	0.20596579201403	0.33505410477628	0.612919650221216	0.0816443271727452	0.417380404671289	0.547042787560912	0.302781687190763	0.750588185590784
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus	4.09115124062791	4.27119564680792	3.61534071918727	3.59459651611254	3.81314679431755	3.95834008948536	4.21095466876569	3.95022739197955	3.8208088744665	4.75446581392761	4.27607234795183	4.98125499916129	4.84051602489335	5.00067807221725	4.7120090732259
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus	-1.42328506229737	-1.03909520515547	-0.95189681263217	-1.03282427881037	-0.920897730619733	-0.751190111826978	-0.396078188152962	-0.199499316094134	-1.11186487816005	-1.35319320615162	-1.07103518276564	-0.625969205321772	-0.00413413172864605	-0.912002033239388	-1.02011787443944
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprocola	5.47694195026397	5.65453820448292	5.18474974432031	4.61526928998524	5.292615428953	4.95059036015855	5.3463272547671	5.1336219726486	4.67733047434429	5.36547482312236	4.92417235062118	5.63942399386333	5.88033457638078	5.87978106949033	5.60593740376846
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprophilus	-0.863669274361952	-0.150456004611824	-0.474972740541861	-1.1663556714349	-0.534480817482264	-0.414717875205765	-0.413172621512262	-0.604964424202298	-1.39954695061183	-0.660046025591672	-0.665570074657476	-0.383655737899842	-0.272398118323325	-0.218854852679443	-0.326970693879494
