#taxonomy	sample1	sample2	sample3	sample4	sample6	sample7	sample8	sample9	sample10	sample12	sample13	sample14	sample15
k__Bacteria;NA;NA;NA;NA;NA;NA	0.00832141520245519	0.257273665682482	0.104522219155645	0.579701948871858	0.201681391039163	0.45480291031242	0.0925997928107413	-0.239627218258128	0.828808714842895	0.683588226665946	0.334990110182155	0.841977217172626	0.67363162252408
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	1.87272006807048	2.06995103357222	2.42874648725317	2.2612582779663	2.9366874021299	2.66217443719238	2.75256380724531	1.75604444035625	1.24973008118775	1.60784712818928	2.19128810054778	2.32870597561429	1.75026500447341
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	3.35774473323703	4.06793897358477	4.38724634025561	3.77713205818294	5.621853637741	5.12704463851381	5.28586958377548	4.36411337492037	3.52179271759046	4.04211004515852	5.37809259441591	5.13686961718733	4.59775503488631
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-4.28213802594594	-3.45629840102183	-3.04944318642465	-4.16523017949139	-3.2160452925742	-2.5753307899589	-2.78378572311068	-2.63893122339937	-3.43855501151085	-3.14953212109311	-1.56212987470373	-3.37507649904191	-2.97172968850645
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-2.14207186244967	-1.6000004106562	-2.66806650308414	-1.81385492232792	-0.0805510766450529	-0.673223263561983	-0.8027842542441	-1.26924663543929	-2.33994272284274	-1.68798973781505	-1.56212987470373	-0.760116721005716	-2.46186259340507
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-3.02937505745057	-2.66784104065756	-2.66806650308414	-2.55579226705729	-1.07597912907793	-1.58207901694862	-1.33686674017436	-1.78007225920528	-3.43855501151085	-1.84214041764231	-1.05130425093774	-1.55591805562574	-2.46186259340507
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	4.44644996974996	4.59993811378156	4.96868560935164	4.75829441136097	5.1426209906138	4.7654399112184	4.89950285002935	4.10603177224488	3.71293045239389	3.53082049190149	3.82541862557225	4.05553178391893	3.42285158375603
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-2.41033584904434	-1.88768248310798	-1.05862859065004	-1.63950153518314	-0.443456570334421	-0.870582697720478	-0.643719559614413	-2.18553736731344	-2.23458220718491	-1.68798973781505	-0.0216848337565777	-0.93272946367271	-2.46186259340507
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-4.73602732648938	-4.67500780599444	-3.00743067610832	-4.6342141710072	-3.58081218643886	-4.61189183170525	-3.78522673539171	-2.741550222174	-4.21572676693839	-3.58140460044488	-2.25657486749371	-4.85822950995684	-2.9003978530739
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	1.58857032002625	2.00583705075561	2.23720827535429	1.64890035233367	2.05951508685122	2.09187478694864	2.06040136334791	1.09160736567874	1.56315165184111	1.1367847375953	1.21045884753605	1.649899912325	1.5454705918274
