#taxonomy	sample1	sample2	sample3	sample6	sample7	sample9	sample10	sample11	sample12	sample13	sample14	sample15
k__Bacteria;NA;NA;NA;NA;NA;NA	1.26195406317168	1.42659359395863	1.05622348499507	1.2379433900223	0.778999546234748	0.972006809674884	0.677767442807143	1.1302510078063	1.07918668589029	1.27059463049155	0.931030700875164	0.973086752781687
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	-2.95545059180765	-2.64148304144286	-2.57255204504916	-3.22412595232512	-1.91070151619927	-3.21004333296632	-2.77222010302444	-2.62511818757647	-3.39815012858792	-3.12179479121788	-3.17161266416163	-3.74541211851341
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-4.71531183557754	-4.27525458924819	-2.97801715315732	-2.93644387987334	-4.09443989560318	-4.16761156061226	-3.37194929488635	-2.91280026002825	-4.49938817595005	-4.91627774026254	-4.92792698006265	-3.74541211851341
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-4.46256276147927	-4.71412218621043	-4.41451229761552	-3.91330584404515	-4.02232483665613	-4.35404843354697	-3.42735448992853	-4.0558055059323	-5.03284329684843	-4.5805458770124	-4.76459999690876	-4.63033303122135
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-4.53506567816628	-4.50977143607097	-4.50783490433545	-4.01388460238313	-3.86516017986135	-4.33822660532081	-3.10228654227357	-3.86826588454919	-4.76447348446272	-4.64851856479418	-4.76515058366374	-4.97776960919995
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-4.7616748576328	-4.62892991144508	-4.52282103479725	-3.97557562385403	-4.0808016809508	-4.29955083247133	-3.18584474333717	-3.70264872386307	-4.73560477019009	-4.55357276660561	-4.72950784588093	-4.34465965829915
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	-3.10960127163491	-3.04694814955103	-2.82386647333006	-3.62959106043328	-3.95941964250833	-3.4977254054181	-3.2422055778032	-2.91280026002825	-2.92814649934218	-2.96764411139062	-3.17161266416163	-3.23458649474742
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-4.39783721795122	-4.41887907432648	-4.46836953201695	-4.30952034561414	-3.91588537225856	-4.40907249184688	-3.6615090986237	-3.84144667858975	-4.75355805386796	-4.59018080155293	-4.46093565985752	-4.88581567875284
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-2.70413616352675	-3.45241325765919	-2.28486997259738	-3.62959106043328	-2.69915887656354	-4.28819569285503	-3.02036560453274	-3.31826536813641	-4.53034707269138	-4.5293818006667	-3.35393422095559	-3.45773004606163
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-1.31784180240686	-1.10103800049571	-1.59172279203743	-0.796377716377065	-1.66953945938238	0.316317191649839	-1.06747201078602	0.707086322598736	-0.253997849915655	-0.556845433756339	-0.568922978717248	0.146408179597219
