#taxonomy	MCT.f.0292	MCT.f.0293	MCT.f.0294	MCT.f.0295	MCT.f.0296	MCT.f.0297	MCT.f.0298	MCT.f.0299	MCT.f.0300	MCT.f.0301	MCT.f.0302	MCT.f.0303	MCT.f.0304	MCT.f.0305	MCT.f.0306
k__Bacteria;NA;NA;NA;NA;NA;NA	1.83660502143873	1.26978576860433	1.50483319285331	1.68694866340516	0.665470665693494	1.68004589122011	1.60474394362871	1.53785154316877	1.99607495316014	2.27317944229856	1.77667656213122	2.10764863057762	1.79122527877777	1.89366147766545	1.44699646170435
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	0.389686038502408	0.454748770435349	1.98091586817543	1.54201463868283	0.788072987785827	2.27177289333415	2.67668798521466	1.6013649488911	3.90529903740823	4.83429656172963	2.79490733234837	4.2189271989574	3.21741096892497	3.09060966705442	3.5972810141593
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-2.67058475618915	-1.04932862634092	-1.11012658518288	-1.203423094491	-1.21726058174029	-0.307320971513554	0.218449582508823	-0.781262851776485	1.58989325598512	2.41222049073405	0.608635767031351	2.00451901378146	1.15092057959221	0.74375589460979	1.31119492054529
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-4.15881640077283	-2.82928063966538	-1.79392561436259	-2.23304251167216	-2.74822252266532	-2.21686347639799	-2.32052428854945	-2.23432765269834	-1.02578362498607	-0.0349458310711047	-2.07042689719761	-1.39389672491882	-2.37543994502395	-2.42382663587086	-1.59752597601908
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-2.15975913242316	-2.14794091500903	-0.262828724795681	-1.27753106664472	-1.77687636967571	0.203504652252436	0.365053056700698	-0.627112171949227	1.6069512388897	2.46375414084923	0.656491788208986	1.88951762108695	0.802613885323993	0.774846481679821	1.32921342604796
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-1.13013971524201	-0.643863518232761	0.786993399702996	0.127811489445864	-0.0721282774372846	1.18433390526416	1.55067672235844	0.371416658161901	2.94893797465764	3.73781510702353	2.00711054670811	3.22122379192244	2.41205179775809	2.04208148278372	2.52421756039114
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	2.62773261035888	1.92959652889668	3.4645843933205	2.8849513007446	3.02509339228699	3.62232363526441	3.75940890654614	2.74018365803725	4.24025359275467	5.45054242633232	3.15991748576422	4.33917482844391	3.74375796859358	3.5695111556188	3.74958155469839
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	1.26775555755637	1.33329917432666	3.05395131505389	2.52399002362518	2.18868740268047	3.39899811688574	3.88940622032163	2.82965506086774	5.27230019559344	6.11102647496095	4.27345353692872	5.5614575328626	4.60556579569778	4.4209888433374	5.03447580137655
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-3.38333543944655	-2.65044907232215	-1.78416670188931	-3.45443382557055	-3.05575494596658	-3.57152238955268	-3.24005650078788	-2.31322121888467	-4.05090328008533	-2.58234490711483	-3.60824744084386	-3.86098645633458	-3.17230421383874	-3.53261299827014	-2.16905144823783
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-3.42734710413377	-2.57324904035079	-1.9127267107231	-3.58718334937039	-2.86970315400005	-3.29057801050248	-3.1605996543605	-2.29098322282162	-4.22461940650511	-2.6368144916404	-3.69981991729601	-3.18565619414687	-2.78444783386271	-3.56466136089924	-2.41655116627368
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	-1.97743757562921	-2.47579263759259	-1.97673773688811	-3.55131760196712	-2.06455844212749	-1.30057274452384	-3.09794982794309	-2.22775817393635	-1.15094676794008	-0.72809301163105	-2.63004268513303	-1.10621465246704	-1.27682765635584	-2.20068308455665	-2.36406680312353
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	-3.07604986429732	-2.56437165752839	-1.91710291378854	-3.52156226375133	-1.5537328183615	-3.31382607978094	-3.12738195702991	-2.28386272550512	-2.4727026079224	-2.64743540648813	-3.74892455033379	-3.56532137699058	-2.77594447074466	-3.50803592312839	-2.39501559379832
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	-3.68678715588831	-2.71372722658654	-1.9835283126095	-3.55184415591941	-2.73843862080165	-3.21665250406652	-3.03884866315766	-2.50213733689619	-4.29751228923786	-2.45732002331262	-3.61978787869032	-3.46575411208716	-2.73548294000812	-3.56090668598197	-2.59347419713964
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	-3.56185250727308	-2.86450651835365	-2.15221448401826	-3.14933324354631	-2.749490371583	-2.91001065695794	-2.32052428854945	-2.25187973987212	-3.45353186093412	-1.82670530029916	-3.68063916185533	-2.26936546227272	-2.77560402682951	-3.81736652555877	-2.75807940682136
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;NA	1.70726650707425	1.09073753715535	1.12346563632421	0.884907394606082	0.825813315768674	1.89810037302684	1.79034957562386	1.67547292104482	1.00468391209731	2.55114596296424	1.83298773369394	1.97052140524004	1.74359722978852	1.89366147766545	2.16367413967449
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	2.4730262205979	1.9951938113825	2.03975636819836	1.7669913710787	1.43194911933899	2.74247852331071	2.5546730346517	2.87801613256116	1.66844602049751	3.41856284515906	2.53759635777289	2.77018117531796	2.36075850337054	2.73379084857404	2.80511994585754
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter pamelaeae	-1.82328689580195	-2.14794091500903	-1.87368734507205	-3.42390230391845	-2.81933506164623	-1.52371629583805	-1.47322642816225	-2.32825061480193	-2.24955905660819	-1.53902322784738	-2.40689913381882	-1.93289322565151	-1.4591492131498	-2.0183615277627	-1.59752597601908
k__Bacteria;p__Bacteroidetes;NA;NA;NA;NA;NA	0.865531943372372	0.203434342154443	0.563849848388787	0.876018447188836	-0.76527545799723	0.907701668998967	0.641306433328857	0.860964883480606	-0.030355572553191	0.332778949054213	0.548011145214916	-0.00760236379892881	-0.0240646878604748	0.55932685547627	0.439355951241964
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA;NA;NA	5.78749517073458	5.54804442577974	5.21721478322655	5.86766506835245	4.94153273757551	5.63674133669984	5.34131646909771	5.12500684926827	4.97322591634397	4.7162468522937	5.57058873428078	5.12819607325133	4.95692926090511	5.37654124763085	5.12510381883637
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;NA;NA	1.08283321906235	0.987553300920115	0.68163288404517	1.5281576040214	0.825813315768674	1.55589746169665	1.05820023726064	1.27712528070552	0.785393930099087	0.601042935648892	1.12532651024974	0.925217670026437	0.620292328530038	1.22683160542288	0.561958273334297
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;NA	8.69227722055065	8.60757614314723	7.98704508868766	8.86474925464421	7.93086998410699	8.56894946119829	8.38378328472031	7.96651282005096	8.14457079994358	7.47286620540497	8.63507184998924	8.01148946158721	8.1725689853946	8.47547422096607	8.18066286881901
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides barnesiae	-1.28429039506926	-1.74247580690087	-1.91036784009602	-1.53989533111221	-2.77570961212639	-1.52371629583805	-3.12373319622825	-0.781262851776485	-2.4727026079224	-2.23217040840732	-1.30828684515071	-2.49250901358693	-2.62715620964034	-1.24517163952921	-2.43199941908187
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	-0.242836520241102	0.29440612036017	-0.822444512731104	0.391626080491001	-0.329957386739384	-0.0196388990617734	-0.646547854977781	0.518020132353776	0.0922467495391413	-0.217267387865059	1.63263719190829	0.0724403438746076	0.227249740420431	2.3297635552355	0.299594008866806
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caecimuris	1.40695268771657	1.39301840902828	0.786993399702996	1.56019695776602	0.500390915334046	0.907701668998967	1.13474031438298	0.260191023051676	0.129987077521989	-0.0349458310711047	1.38182565526483	-0.0286557729967612	0.263617384591306	1.37166255330133	0.800369296779295
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus	0.341676819316047	0.377787729299221	-0.822444512731104	1.281483555297	0.995712352564071	-0.307320971513554	-0.283642361288413	-0.781262851776485	0.589519406900429	-1.13355811973921	-0.187695649763825	-0.165231308002512	-0.295998403344117	-0.552024458969269	-0.90437879545913
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus	-3.67428389155271	-2.83942006587557	-2.50194059534914	-3.38405211988595	-2.90690917138037	-3.09841325483827	-3.60186989786426	-2.28264124733526	-4.27889784944393	-3.00511662373119	-3.67384224522924	-3.71681394315308	-2.90751363648341	-3.3447882961589	-2.35820581247953
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprocola	3.04204733374403	2.88901168740459	2.54485131725537	2.71571737870601	1.99012086370218	3.15725685356554	2.51045256617233	2.67400175115595	2.41104583626801	2.38788839007452	2.91806016367564	2.80079581113756	2.3694921833393	2.82844679217577	2.43966017236308
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprophilus	-0.303461142057537	-0.13303789446677	-1.11012658518288	-0.178918777976612	-0.272798972899436	-0.0767973129017221	-0.37461413949414	-0.270437228010494	-0.838572082897924	-0.527422316168899	-0.302764979548612	-0.787760921348504	-0.583680475795897	-0.477916486815547	-1.59752597601908
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides dorei	7.48029658599573	7.33900794295031	6.7352894514096	7.81162337099259	7.03089469730433	7.71718965296542	7.39200451379706	6.69000537325065	7.05139868295161	6.08094629441193	6.95220601142247	6.80552167151624	7.13222337644069	6.42453905907169	7.29448982316394
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii	1.06708486209421	0.526207734417494	-0.262828724795681	1.14112619760208	0.42034820766051	1.47201597771594	0.770518164808863	0.260191023051676	0.577754565320842	-0.622732495973224	0.378112108419519	0.369691867342539	0.332610256078257	-0.121241542876815	0.70505911697497
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecichinchillae	-0.131610885130878	-0.538503002574934	-1.51559169329105	-0.153600969992322	-0.76527545799723	-0.169170633032737	-0.585923233161346	-1.47441003233643	-0.838572082897924	-1.53902322784738	-0.971814608529497	-1.10621465246704	-0.670691852785527	-1.24517163952921	-1.08670035225309
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis	-2.67058475618915	-1.74247580690087	-1.11012658518288	-2.23304251167216	-2.06455844212749	-1.99371992508378	-3.13070509746526	-2.34413441641294	-2.06723749981423	-2.77234449098678	-2.63004268513303	-2.49250901358693	-2.9407872065929	-3.11697381643081	-2.00299108412724
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii	2.86674951082938	3.17750511892725	2.19798037341326	2.69710553151141	2.52040903654308	2.73366789362856	2.29459622829181	2.21446942177751	2.17887395087985	2.0514161534533	2.83378911989258	2.41461590413966	2.25928904320568	2.75936042342354	2.19421086353457
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fluxus	-0.878825286961099	-1.23165018313488	-1.93015840441482	-1.27753106664472	-0.860585637801555	-1.11825118772988	-1.33969503553773	-1.87987514044459	-0.968625211146121	-2.64887200089146	-1.37727971663766	-1.17075317360461	-1.68229276446401	-1.41222572419238	-1.59752597601908
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	4.84494135261545	4.85648725123336	4.00786722723387	4.90423592558823	4.19055159960403	4.66864619363682	4.50276183380623	4.11158940666339	4.14386445927867	3.63146076719077	4.76904954103124	4.17857411385117	4.26639475328792	4.64114604430932	4.28207547794351
