#taxonomy	MCT.f.0089	MCT.f.0091	MCT.f.0094	MCT.f.0095	MCT.f.0098	MCT.f.0099	MCT.f.0417
k__Bacteria;NA;NA;NA;NA;NA;NA	0.942426257040257	0.72191826057119	0.564921818049066	1.1623423024486	1.72774396643254	0.997354851875401	1.41604595067888
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	1.26748067219014	0.432816741465183	0.0772186117039297	-0.368201667515835	3.78849337510022	1.04864814626295	0.701696562468333
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	4.03557365780036	2.59796672835423	1.41221967843627	-0.334300115840153	6.74571851731884	3.14205422829316	2.61440864211405
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-2.12894343071935	-3.63905496490486	-3.21984958594628	-3.04235031694236	-0.415413389633408	-3.05280994133849	-3.09703920868268
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-3.51518582179151	-2.94590778434491	-2.78498226922554	-3.50554202581158	0.446810120970471	-2.23476619974282	-3.47261392704704
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-1.13041460060823	-3.63905496490486	-3.08582265414244	-3.44836147272803	1.27487661942979	-2.64023130785098	-3.29583535407284
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	2.90336016285603	2.84354257262338	2.89177153304274	1.91699168276634	5.04685608944112	2.99098047397038	2.72984480976062
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-1.87762900243845	-3.12822934113887	-3.17673234969765	-3.51686737534174	0.751021495373463	-1.72394057597683	-2.44818639091292
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	1.19300457928866	1.29541896822583	1.19469938467642	1.10868958895628	-0.0640155027955194	1.13252963024365	1.73131597964949
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-2.46541566734057	-1.96507853133319	-0.14592493961028	0.11465010420775	0.0741348356852979	-0.694321158795671	-1.75503921035297
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	-0.939359363845518	-0.643322691350868	0.393071561122407	0.234794416049813	0.277733790926537	0.192982036205232	-0.656426921684861
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	-2.28309411054661	-1.44183038756864	0.105389488670626	-0.124579584858084	0.0741348356852979	-0.62532828730872	-1.46735713790119
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	-3.57777235542691	-2.65822571189313	-0.342635233856334	-0.209136972886147	-0.140976543931648	-0.694321158795671	-2.85365149902108
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	-1.1844818218785	1.23359458621749	0.680753633574188	-1.43291240450826	-1.97355800767996	-1.38746833935562	-1.14890340678265
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;NA	-2.28309411054661	-2.79175710451766	-1.68636998055743	-2.34920313638242	-1.0572672758058	-2.23476619974282	-2.44818639091292
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	-2.68855921865478	-2.65822571189313	-0.770079248683274	-1.53827292016609	0.041345012862307	-2.64023130785098	-2.44818639091292
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter pamelaeae	-3.38170639921472	-3.12822934113887	-2.09183508866559	-2.6368852088342	1.34967783251249	-3.04046671109562	-2.85365149902108
k__Bacteria;p__Bacteroidetes;NA;NA;NA;NA;NA	-1.50990422231313	-1.55961342322502	-1.28090487244926	0.0021721207810596	-2.6667051882399	-2.64023130785098	-0.288702141559543
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA;NA;NA	4.10630727824874	4.2477780340502	4.48254315860263	4.77849056296498	2.9945176719975	4.69768169182969	4.72985044584084
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;NA;NA	3.24699613401369	2.13653124188033	2.71423303968939	4.2991335354208	2.28559452884339	4.71828106843102	4.5371470227146
