#taxonomy	MCT.f.0426	MCT.f.0427	MCT.f.0428	MCT.f.0429	MCT.f.0430	MCT.f.0431	MCT.f.0432	MCT.f.0433	MCT.f.0434	MCT.f.0435	MCT.f.0436	MCT.f.0437	MCT.f.0438	MCT.f.0439	MCT.f.0440	MCT.f.0441	MCT.f.0442
k__Bacteria;NA;NA;NA;NA;NA;NA	0.376063179759741	0.479707845989802	0.465108100739641	0.391623647725937	0.609116105084298	0.526546432031269	0.453411343680135	0.151008144603267	0.147142487764238	0.268421003620456	0.0291391315851254	0.887882595536307	0.494700833805027	0.761786842499363	0.28567400532296	0.566190827477334	0.321759063519451
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	0.142969297592364	1.05108315433213	1.99389229862919	2.59319605799826	-0.00992310332192528	0.811477471111161	0.41587342436107	0.556473252711431	1.7172632968575	1.84611021773998	2.10180098627958	3.93337308754637	0.286209559277687	0.945911826292468	1.58145435890202	2.70983115867945	1.69179290376756
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	2.93719719493563	3.75528904507755	4.9295708713558	5.52799861981667	2.96934789317799	3.65677117468933	3.175745013536	3.07327326627539	4.55503647818855	5.17577694826271	5.34540260719289	6.87748948606485	3.08099332100436	3.62223270310534	4.45579181901784	5.65705610268026	4.64834544693502
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-3.86554701642196	-4.05049783685967	-1.84272634814055	-1.93076407256429	-4.23649933352906	-3.29116589392564	-3.0018532592523	-2.45733321273677	-2.32578797097705	-2.73364887197164	-1.972340868625	-0.277304183754472	-4.7797313203804	-3.47593630256809	-2.18396517233425	-1.3455279568297	-3.80537532152564
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-3.14044504841341	-2.09163130957051	-0.692820765084888	-0.544469711444398	-2.64898043293718	-2.03840292543027	-1.96039938442413	-1.9620275086589	-1.70674876257082	-0.7994196263809	-0.94272145144384	0.877661041464769	-2.91019340973845	-2.22317333407272	-1.28602357912829	-0.135690033051366	-1.27964667721739
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-1.67410797961998	-1.08003039789203	0.256259789612258	0.570671879174923	-1.95583325237724	-1.90487153280574	-1.70257027512204	-1.23528621651662	-0.00901824299104435	0.0607816388422119	0.131793285645209	1.94614358868085	-1.70622060541252	-1.27871172523187	-0.45472606008753	0.748512384271289	-0.355387775694053
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	0.0376087819345371	1.1980135861859	1.19424888394749	2.0146937089501	-0.128982463337913	0.679126019626487	1.06145919372208	1.47276398458559	1.85735209002819	1.95597669531851	1.31606101889181	2.5836536889354	0.437759457404888	2.07799180543166	1.89357227157147	1.57383133793972	1.1782313001827
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-3.54591015652157	-2.27395286636446	-1.00297569338873	-0.190297897723784	-2.51544904031266	-1.78708849714936	-2.59638815114413	-2.18640272738164	-1.49910939779258	-1.11787335749943	-0.809190058819318	0.846354136839725	-2.33482926483489	-2.02901731963176	-1.21456461514615	-0.567823388241691	-1.2404259640641
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-3.87975078204378	-4.29912509551792	-4.39203490280034	-4.12472759606662	-4.57016125187472	-4.07085357446144	-4.40475113832838	-2.04420314835269	-3.7836267971567	-2.80753346975093	-3.29714796903803	-4.57592592577738	-4.77204936822347	-4.47838254074372	-3.88871326457268	-4.05258490664725	-4.18742099496384
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-1.1480148837232	-0.726390357648447	-1.56828950243879	-1.01447334069013	-0.332210704951182	0.346420265800751	-0.084082527168017	-0.38798835612942	-0.359675114604214	-1.11787335749943	-1.50233723937926	0.0987470391473989	-0.158658096696506	0.513047743996189	-0.082050774802357	-1.04324708495677	-1.60815074418942
