#taxonomy	MCT.f.0511	MCT.f.0512	MCT.f.0513	MCT.f.0514	MCT.f.0515	MCT.f.0516	MCT.f.0517	MCT.f.0519	MCT.f.0520	MCT.f.0522	MCT.f.0523	MCT.f.0524	MCT.f.0525	MCT.f.0526	MCT.f.0527
k__Bacteria;NA;NA;NA;NA;NA;NA	2.40173220955209	2.86107416272284	2.4143271286687	2.47479696936535	2.80105867158974	2.33608281775185	2.52024677779379	2.59446049373516	2.26539705306656	2.00427929415208	2.27733160593783	2.68841322718873	2.16676283388067	4.86745327664173	1.93858934227557
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	-1.87029352990747	-2.0417284265702	-2.55135520140929	-1.64191462300365	-1.46125968492241	-2.32243510412406	-2.25975282356818	-2.16450316543235	-2.23933873559976	-2.5120596781294	-2.55880461387536	-2.04997580258558	-1.88106171270654	-2.81485145089005	-1.99998824430064
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-2.70879706443277	-3.54035426246288	-2.58193226400246	-3.80970658096634	-1.08050512635369	-2.43141437501889	-1.86801040663073	-3.55079752655224	-2.82712540050188	-2.82038312929922	-2.5763608858494	-2.51997943183132	-2.66951907307081	-2.8324429305178	-1.8560978126993
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-2.89159597739887	-3.65679612259727	-2.39112067634911	-3.91745935174816	-1.77438706445188	-2.64380064059692	-2.2392193183627	-3.91424583673637	-4.2558398563015	-3.30022405006569	-2.54324027096883	-3.69649270486942	-4.18149518266901	-2.77544075826772	-2.31953515964043
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-2.64137467068951	-3.65732647271129	-2.46018229530782	-3.84850185970692	-1.51302933025038	-2.3548046251949	-2.26982570367057	-4.19536991089198	-3.96308423625911	-3.12899571703976	-2.7912909174432	-3.59936107487268	-4.01578665197893	-2.81182976379135	-2.17643942565212
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-2.77556205775749	-3.52490844125084	-2.6825234415744	-3.99009389443101	-1.59129753088372	-2.30902523663098	-2.26402565002137	-3.90998914973023	-3.33795102426787	-2.80758719128063	-2.48732367793751	-3.03080505559731	-3.8179165202347	-2.70738258697606	-1.86389106379641
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	-2.27575863801563	-2.22404998336416	-1.82459866236451	-1.97838685962486	-1.49306462627393	-2.2980354729658	-1.46254529852256	-2.63450679467808	-2.13397821994193	-2.91301244120851	-1.76571966189672	-2.33765787503736	-1.97637189251087	-2.41942313510896	-1.54265074706012
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-2.82336030415409	-3.58073655842166	-2.23006377047267	-3.58782477205896	-1.35099674344802	-2.3896994992973	-2.44342444702338	-3.88134161556557	-3.97912951370605	-3.24280019676128	-2.57992764754488	-3.61739035666223	-4.0292295486176	-3.04758425104495	-2.11197274230619
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	1.64621469826568	2.33402859509008	1.98944393470343	2.08549849511253	1.78169575457577	1.97940787381312	2.0238098914799	1.98850330943834	1.46059055470076	1.1892422959831	2.15954857028144	2.23361075927505	1.40462278183377	2.43260712881065	1.19818927686508
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-0.771681241239356	-1.53090280280421	0.632137110456795	-0.203434508713188	-0.16421439447954	0.652536933164031	1.1765120310927	-0.0244370019360771	-1.21768748806778	0.0136689661788603	-0.91842180150952	-1.2962040002092	-0.387136687394286	-0.915345738332691	-1.13718563895196
