#taxonomy	MCT.f.0344	MCT.f.0345	MCT.f.0346	MCT.f.0347	MCT.f.0348	MCT.f.0349	MCT.f.0350	MCT.f.0351	MCT.f.0352	MCT.f.0353	MCT.f.0354	MCT.f.0355	MCT.f.0356	MCT.f.0357
k__Bacteria;NA;NA;NA;NA;NA;NA	1.30303731240914	1.2756133423432	1.59950188020559	0.719998356007655	1.38646905213925	1.30801892972191	1.60305071611351	0.94265168318126	1.0456491437218	0.742948166002228	0.987181649373626	1.38674007579848	1.30890473676977	1.12554888367039
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	-3.56539380503557	-3.26117063536985	-4.26578180015628	-2.6811990256545	-2.15449027189806	-3.54273448927013	-2.45253094264405	-3.17638549163121	-3.33800435562799	-3.45995445577019	-3.09299332424222	-3.12163116374165	-3.20265043787779	-4.10292169919726
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-3.52102258182912	-3.31768632366195	-3.21064788646904	-3.64073830208476	-2.58473312450471	-3.51610270163595	-2.36838905259495	-3.52165596785591	-2.93403251018016	-3.34508205578259	-3.15452918842725	-3.09340408370173	-3.1118256909048	-4.06211537391262
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-3.53565559195791	-3.27797141171939	-4.31500669676508	-3.70525526385689	-2.53897812689056	-4.00959464353878	-2.57309470452961	-3.46349510449182	-3.25288463634659	-3.96017689589874	-3.21823874910338	-3.06820523027081	-2.98802032419879	-4.13367187235241
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-3.30897472725989	-3.20771055307966	-3.90379506702898	-3.83078476067813	-2.41129573635297	-3.80504274758008	-2.38698141470666	-3.72793089700604	-3.21304014692153	-3.47927854117641	-3.22256997182304	-3.368449905277	-3.03176156331666	-4.15549888149114
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-3.13961394408117	-3.32618484949283	-4.23713314578204	-3.65285159979301	-2.60900303196782	-3.58058114566062	-2.62130587289114	-3.48422345985166	-3.41809686569215	-3.5310318287272	-2.97914069510434	-3.20824436331231	-3.12656470239918	-4.00035011748894
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	-2.04100165541306	-1.95123065217418	-1.76372890353271	-1.50254402931285	-0.901727303402694	-1.1343281056473	-1.35446034462028	-1.67230809485494	-1.83542022151205	-3.36075229124984	-1.59050673386534	-0.890527209211279	-2.71644695396538	-2.57985987239476
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-2.44646676352123	-3.08590172010949	-2.65103209853362	-2.45805547434029	-2.44098944915791	-3.60920222010283	-2.41971453643912	-3.17638549163121	-3.32899734589575	-3.35988013580917	-3.17972823977291	-2.94259585291193	-3.08363363381772	-3.2730070529547
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-3.88545292060277	-3.28830623627532	-4.2024556721073	-2.6811990256545	-2.76109852804109	-3.54336578557953	-2.42636373031696	-3.44313279992051	-3.325608894577	-3.32512519706023	-3.32146560135527	-3.22251741406392	-3.25754704696895	-3.94057611132584
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-0.741718671282804	-1.61475841555297	-1.76372890353271	-1.0717611132204	-0.901727303402694	-0.539620997900606	-0.543530128403953	-0.0408912757020628	-0.449125860392162	-0.621367288398888	-0.549052859037179	-0.156558034131079	-1.33015259284549	-1.48124758372665
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	-0.69726690871197	-1.48122702292845	-1.55241980986551	-1.58258673698639	-0.768195910778171	-0.611079961882751	-0.101697376124914	-0.537328162015954	-0.449125860392162	-1.11780417471278	-0.984370930295025	-0.810484501537743	-1.33015259284549	-1.97372406882444
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	-1.12471092353891	-1.61475841555297	-2.03199289012739	-1.12305440760795	-1.46134309133812	-0.505719446224925	-0.342859432941802	-0.258614759546933	-0.225982309077952	-0.712339066604614	-0.386533929539404	-1.29599231731944	-1.2123695571891	-1.59903061938303
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	-0.613885299772919	-1.25808347161424	-1.82435352534915	-1.23428004271818	-1.05587798322995	-0.145716712193518	-0.101697376124914	0.224811890030943	-0.130672129273627	-1.1919121468665	-0.674216001991185	-0.542220514943063	-0.844644777063785	-1.19356551127487
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	1.41951230340551	0.598214518751389	-0.0643427544356742	0.949786450040533	0.148094821095984	0.423816512399251	1.04343492817809	0.694815519276679	0.592328014435999	-0.0191918860446691	0.588025710458726	1.03128538826497	1.14428275707522	0.407504151488715
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;NA	-0.999547780584904	-2.17437420348839	-2.03199289012739	-1.58258673698639	-1.46134309133812	-2.11515735865903	-2.04760752518023	-1.09694394995138	-2.24088532962022	-1.35896623152967	-3.03662283731344	-1.76599594656518	-1.46368398547001	-1.59903061938303
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	-0.306400600024958	-0.921611234993024	-1.3011053815846	-1.0717611132204	-0.28268809499647	-0.728862997539135	-0.794844556684859	-0.650656847322957	-0.193192486254961	-0.866489746431873	-0.609677480853614	-1.98913949787939	-0.770536804910063	-0.875111780156334
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter pamelaeae	-2.44646676352123	-3.2176391175016	-3.90379506702898	-3.37434620621445	-1.7490251637899	-2.11515735865903	-2.04760752518023	-1.2304753425759	-2.01774177830601	-3.06371432376809	-2.28365391442529	-2.68228667843933	-3.00277531365402	-2.4257091925675
k__Bacteria;p__Bacteroidetes;NA;NA;NA;NA;NA	-0.69726690871197	0.152903502096025	0.121556623706164	-0.217345785064332	-0.362730802670007	0.0443268906943472	-0.255848055952172	0.137800513041313	0.036381955389539	-2.37056714320815	0.173081858396018	-0.542220514943063	-0.151497596503839	0.182257549977726
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA;NA;NA	5.58905499378159	5.82084815305686	5.62427149874736	5.60689541740885	4.95047517637178	5.52840540467695	5.33108844386899	5.71739310834254	5.63195084540551	5.64302426953142	5.90216071223549	5.41984551119529	5.76563706033729	5.74366766052687
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;NA;NA	1.99618449296909	2.198233209269	1.95270849464488	2.1207707363082	1.27949693258708	1.78681531091562	1.61595412094942	1.72517870741068	1.69094030310411	1.41928822824579	1.67397960225491	1.48437854536239	1.810761690553	1.81458928227768
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;NA	7.63618110434619	8.02292969332366	7.74685112802455	7.73046815308159	7.32892602014054	7.60302418804219	7.30245130996504	7.43765930297446	7.4330947145152	7.58572630915091	7.63266759609093	7.13168636688905	7.59358845363015	7.77831672076174
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides barnesiae	-0.195174964914734	0.428315481955992	0.754915885887136	0.386853909479117	-0.28268809499647	0.170620616018639	0.203684273426268	0.630276998139107	0.690308422796203	0.897098845829486	0.987181649373626	0.453207537489816	0.46160687638257	0.639015952473441
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	-1.53017603164707	-0.616229585441842	-0.55389097975438	-0.175673088663764	-1.46134309133812	-1.1343281056473	-1.64214241707206	-1.56694757919711	-0.919129489637897	-1.35896623152967	-1.30282466141356	-1.42952370994397	-1.80015622209122	-1.2805768882645
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caecimuris	0.356893617385306	0.613718705287355	0.182181245522599	0.137199232616575	0.196884985265416	-0.078275431397985	-0.661313164060336	0.00166833871673315	-0.369083152718625	0.114339506579854	0.0834696997063311	-0.430994879832839	0.253967511604325	0.0472212661737836
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus	0.21029014319343	0.409623348943839	-0.166125448745617	0.5376767992137	-0.901727303402694	-0.122727193968819	-0.255848055952172	-0.435545467706012	-0.736807932843943	0.0498009854422823	-0.20421237274545	-0.430994879832839	-0.0773896243501174	-0.166926722231848
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus	3.17935416966526	2.99752923820399	2.57548232953592	2.6527267683609	1.50907137423158	2.09943633171465	1.57673340779614	2.33704325453377	2.0699137957653	2.38517590125932	2.95632787510979	2.76660354658808	3.18345039961712	3.34972927099514
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprocola	6.21187870765089	6.76225274526341	7.29358368734116	6.75852538522535	6.34392776419184	6.51685150718579	6.75024312375083	7.17994363597063	7.19663045478355	7.28765905276015	7.6276860603208	7.03880931485272	6.67362829890799	7.20947865845046
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprophilus	-0.613885299772919	-0.382614734260337	0.14798988077432	-0.175673088663764	-0.0144241084017912	-0.269330668160694	-0.342859432941802	-0.0853430382728966	-0.130672129273627	-0.0432894376237296	0.606717843470879	-0.0795969929949503	-0.41386186097133	0.203091636880568
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides dorei	3.14265280281483	3.64496661180208	3.66277471343259	3.54187315117982	3.01029570202545	3.37515683020638	3.03068641738984	3.42891242931699	3.53676699360244	3.6773958778051	3.90666149142786	3.29152293342993	3.62567446475578	3.77189806417467
