#taxonomy	MCT.f.0121	MCT.f.0122	MCT.f.0123	MCT.f.0124	MCT.f.0125	MCT.f.0126	MCT.f.0127	MCT.f.0128	MCT.f.0129	MCT.f.0130	MCT.f.0131	MCT.f.0132	MCT.f.0133	MCT.f.0134	MCT.f.0135	MCT.f.0136
k__Bacteria;NA;NA;NA;NA;NA;NA	0.514782639345476	0.550192015928706	0.334728280794268	0.475612012984029	0.0842692581787201	-0.271437353016818	0.0590557805768329	0.56110133784719	1.09424653112605	1.24749754487008	0.881654337967038	0.130997865361714	0.903862773497984	0.532747553283631	0.476807393962577	-0.000428903213549002
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	-0.216104869197316	-1.11295007547725	-1.06926565742502	-1.14069877873783	-1.58970717539295	-2.27524688679969	-2.45324984339928	-0.958724415897224	-0.851663617929261	-0.924409224481846	-1.21840649091553	-1.50661092403908	-0.815923196104981	-1.35253797395525	-1.64345614223751	-2.46147293638976
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	1.03665809929805	0.0415426715853114	-0.0447613409106359	1.30014788125614	-1.99517228350112	-2.20361682139246	-2.1655677709475	-0.958724415897224	-0.851663617929261	-1.90523847749357	-2.31701877958364	-0.317026857165247	-0.0427333078714995	-0.379088828241143	-2.3831969457062	-1.38672326433344
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-3.21114079561983	-3.38163361679562	-3.35195794493986	-4.18608420814498	-3.14044620163773	-2.49413962085335	-3.39393266684226	-2.50270497359143	-1.5277277752343	-4.27258895888114	-2.67748818015283	-3.13580238476567	-2.95726762900554	-4.06094672434802	-2.77015977793058	-2.66942263598786
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-3.00927092358151	-4.45264489349272	-3.43342297786382	-3.96144469754245	-3.12327216237241	-2.17251187016996	-3.31623968471515	-2.63769057507835	-1.33552968105031	-4.41427647156165	-2.6337037312724	-3.13037020338609	-3.09766662283806	-3.78376202681466	-2.72617807369679	-2.5021734727516
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-3.19583514102103	-3.99397175681371	-3.40022167043489	-2.89855669629021	-3.25606354173811	-2.35769859388617	-3.40408564217826	-2.73419387532399	-1.19419997422596	-4.34776808290197	-2.67065459533909	-3.02542471544046	-2.96213971176191	-3.49260413745152	-2.52810846217815	-2.52737187241339
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	2.13892669916927	1.42238742793764	1.40366480131626	0.989173616568894	0.745667740424085	0.827174935651291	0.437121914496883	1.52618223389078	1.02013855897233	1.85129962509418	1.62456302808605	1.84579629345364	1.50319119884027	1.25232799091173	1.77972014614342	0.753342899162831
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-2.78105422665885	-4.30971822507294	-3.49653508914649	-3.95324028869651	-2.93834578344349	-2.3368374538704	-3.21455907710707	-2.6083808831477	-0.851663617929261	-4.21576760831469	-3.06488333605091	-2.35390878442629	-2.20221755722487	-3.08713902934335	-2.61436366650325	-2.49106675360649
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-3.29506377506231	-4.06110485130953	-3.4698441441758	-4.0759192748402	-2.92864110340862	-2.22597379717127	-3.22824844720122	-2.71707056008951	-1.37038985687162	-4.48639381591719	-2.59548685932928	-3.17065644208594	-3.08354856621248	-3.96217515337217	-2.75832024209384	-2.6566279156847
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	1.17975894293873	0.684540068459785	0.734328269450034	0.336192477734284	-0.385734371067015	-0.782262976782809	-0.184566302080917	0.0910977086014541	-0.851663617929261	-0.102429172078932	-1.21840649091553	0.130997865361714	0.133157358592165	0.719523460426966	0.476807393962577	-0.0649674243511202
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	0.745306297957309	0.410103222758025	0.622410353246049	-0.245314731682992	-0.742409315005748	-1.47541015734275	-0.373808301719446	-0.339685207491	-1.21036132503885	-0.949727032466136	-1.40072804770949	0.130997865361714	-0.5282411236532	0.325108188505387	-0.177119073444087	-0.208068267991794
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	0.332461082551522	0.0944650730396538	0.120318409448813	-0.318339866697882	-0.336944206897583	-1.88087526545092	-0.460819678709076	-0.506739292154166	0.0646271139448943	-0.875619060312414	-2.31701877958364	-0.508082093927956	-0.356390866726541	-0.0914067557893626	-0.0340182298034133	-0.470432532459285
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	1.80900232151919	1.60425350761144	1.58999437950775	0.951590905419851	0.729407219552305	0.644853378857337	0.936774237664748	0.879555068965724	0.53463074319063	0.644206693432	0.455569942656138	1.21091802101767	0.388049608220955	1.6635734619354	1.2091752876758	0.485078912568152
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	-0.178364541214469	0.104721573206843	0.162878023867609	-0.245314731682992	0.173881416868407	-1.47541015734275	0.209337983626171	-0.196584363850327	-0.446198509821096	-1.61755640504179	-1.21840649091553	-1.05462580029603	-0.815923196104981	0.593372175100066	-0.439483337911578	-0.981258156225275
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;NA	-1.52829125816348	-1.1844090394594	-0.935734264800501	-1.28911878385611	-1.30202510294117	-1.88087526545092	-1.35463755473117	-2.54210580264366	-0.851663617929261	-3.00385076616168	-1.91155367147548	-2.06622671197451	-1.91453548477309	-1.62080196054993	-2.50164581268635	-1.67440533678522
