#taxonomy	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
k__Bacteria;NA;NA;NA;NA;NA;NA	0.31178318173525	0.46291636363066	0.557631726024129	0.945116990705034	0.509568568999788	1.18904278712432	0.964553892806043	0.601754974970135	0.495348370727089	1.08635087843809	1.04017956979059	1.14041956851316	0.798946467256717	0.629241091235483
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	0.671785915766657	0.235132432759948	0.970476941429916	0.50024933473084	0.560861863387338	0.186394486717959	-0.265394397923154	0.935346748725993	1.14927483813375	1.65574485635514	2.59897374940594	2.12124882152489	2.33008352927706	1.2123873765811
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	0.168682338094577	-0.753478960693833	-0.386829882816723	-0.810924395920942	-0.442440245476447	-0.609936930077217	-1.26392322803428	1.2572908847843	0.29752262739717	-0.185104223069434	1.11163853377274	1.05340819152353	0.630750612726411	-0.150917466314092
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-3.44937514517518	-3.14258585835213	-3.96980611295488	-4.03417624042464	-3.16196062815015	-3.99649466643914	-3.61529848519776	-3.93880491620546	-3.74238568363557	-2.76910177550166	-2.25565729621374	-2.63220833233282	-2.73160693561948	-2.97312794929125
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-0.415265550500376	-1.5801575338783	-0.445670382839656	-0.441177370414857	-0.442440245476447	-1.00459112208117	-1.53585694351792	-0.111731889826933	0.0898832626189251	0.449774049366536	1.56571134094628	1.12361245019678	1.34593050828624	0.495709698610961
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	0.72829812603	0.0848502297106104	0.925356506149446	0.493131866961976	0.686025006341344	-0.0691304740992909	-0.376620033033378	0.818164494103	1.25062733239404	1.74996571143301	2.75719775462083	1.94391480624197	2.48255212292133	1.69251401345828
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	1.06162570597174	0.722427559115745	1.64880903620472	1.07694238348446	1.2372019256309	0.332106297899352	0.503738689614714	1.72030147853906	1.43695691058553	1.13287089407298	1.79902200961593	1.85825936166348	2.23522573581838	2.42446676844002
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	0.683346738167734	0.551469760972106	0.601116837963868	0.0288262588308787	0.417761019746665	0.323595608231444	-0.524256031839443	1.18505732742492	1.41675420326801	1.72513684977914	2.22546024110438	1.97332869144826	1.90034427304625	1.52021401512535
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-3.32431452879753	-3.38489059422522	-3.70139136399131	-1.96360390585933	-3.60291718384572	-3.74543114600637	-3.88153011183282	-3.94418551186185	-2.9139350303063	-3.81863946398167	-3.2063991626497	-2.55061815443926	-4.42264475413302	-2.90942823764368
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	1.0049303622952	1.26142405984843	1.10124717261311	0.760975597194093	1.18501617246033	0.578701510248612	0.906490091851282	1.61152382506748	1.34264623111429	0.615288487844109	1.72090423035198	2.16406881870781	2.1446803059457	0.70928379890902
