#taxonomy	sample1	sample2	sample5	sample6	sample8	sample10	sample11	sample13	sample14
k__Bacteria;NA;NA;NA;NA;NA;NA	1.29504879673826	0.771966787042668	0.996680219214935	0.765614948688387	0.817881718500957	0.760454656955719	0.355232161523308	0.105428188568946	1.42658887961978
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	6.30160960753624	2.28527952370231	2.59110402108465	1.59752789023611	1.87727329401579	2.23265684520154	1.69088278982444	2.5852715364004	2.5417633222899
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	4.23986097986499	0.199540165435486	0.573410486473264	-0.0842306837776153	-0.242990242184306	0.244715018387299	-0.375655347019484	0.579212540654587	0.47667297277315
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	0.505171989719763	-3.81503942831775	-3.1582889648236	-3.85208303362678	-3.18838894936674	-3.6821965995346	-3.79830649172911	-3.22738572154725	-2.99425774690368
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	3.99740908206279	0.000472676729549705	0.375397599884634	-0.325392740594503	-0.18892302091403	-0.0848843389461517	-0.671921163162657	0.21983853974669	0.169809841469525
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	5.34132988104511	1.30892455108551	1.62502740654796	0.971821990471699	1.00977272631106	1.27714540017411	0.696981455245365	1.54339456023316	1.56661218018783
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	3.87246781970624	0.0808541951805099	0.315229078418181	0.0335523518787682	-0.137629726526479	0.194199228250397	-0.428299080504906	0.164268688591879	0.282886986088496
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	7.79381147672962	3.76034007399324	4.15058867283256	3.45879689332376	3.45968253406197	3.71872936797481	3.1782264385474	4.05258431021806	4.04218387303978
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-2.26741673252002	-4.73133016019191	-4.31368535949701	-3.83103624170165	-2.82622937996565	-4.56917175905781	-3.96630363268486	-3.1302903643675	-4.884119857184
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	3.32076781738514	-0.526637540800941	0.226101298522174	-0.526063436056655	-0.137629726526479	0.292801205054937	-0.54270943168265	1.07482874575705	1.07761395946636
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	3.78702261374935	-0.355573138531621	0.182804492768849	-0.526063436056655	0.267835381581685	0.382547492911212	-0.483868931659717	0.871600504143781	1.14090880983868
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	3.02337236760723	-0.870600449151312	-0.296088083894132	-0.813745508508436	-0.568412642618934	0.0554730187487709	-0.82034116828093	0.767803710462137	0.665021237433965
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	3.24701957040526	-0.628686795155112	0.128245508518415	-0.0491393639663451	0.198842510094734	0.278616570062981	-0.781120455127649	1.07482874575705	0.855889854806378
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	3.90114742740077	-0.628686795155112	-0.296088083894132	-0.708384992850609	-0.242990242184306	0.648536740751734	0.165475626241835	1.86641599913025	0.677814588893874
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;NA	3.05559324661839	-1.20496963557575	-1.40908911001434	-1.40153217341055	-1.18745185102516	-0.863798341263522	-0.82034116828093	0.520943632530612	-0.286207545801471
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	4.04748908721754	-0.0128312888968131	-0.354928583917066	-0.931528544164819	-0.360773277840689	0.412147962687503	-0.0502329465848563	1.63280114794874	0.770810845567802
