#taxonomy	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
k__Bacteria;NA;NA;NA;NA;NA;NA	1.62913685012953	0.846362541775341	1.73695078849374	0.892990259574807	0.860468522929503	1.06001355948821	1.42506375281167	1.05151299635399	1.45039037119201	0.995302745150511	0.765818386569358	1.03623907163585	1.06908973414087	1.18547383116208
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	0.284611901885931	-0.521378411448802	-1.73206918950718	-0.78928497681156	-0.302682286876178	0.0383623119562248	0.0588818014788754	0.143254436177098	0.0560638383748556	-0.297465557958556	0.685188652169249	0.531063180411975	1.17804091792943	0.272467174489118
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-2.5187484790206	-4.47432326467239	-4.45737535000853	-4.30897149022251	-2.74718588700153	-2.15886226537999	-4.5294152710474	-2.85084134718479	-2.68477618555035	-3.91735214058554	-3.74471017151104	-3.73161669662934	-4.56668500833972	-3.83840668968419
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-4.1281863914547	-4.31869129597004	-4.42744518110467	-4.19092089695036	-2.5717793777112	-2.90474137126564	-4.44212960526696	-2.78113353885391	-3.52221666543113	-4.86245476013223	-4.06319775645875	-4.89418540944662	-4.5263746315975	-4.50274431333211
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-4.42828162045284	-4.38770409505845	-4.45495706843731	-4.39505605088289	-2.79669559658594	-2.86994346637462	-4.40002794077497	-2.98758554989545	-3.14084084734041	-4.73822957599136	-3.83656247530247	-4.33089590534342	-4.47242343209208	-4.60077303704799
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-4.44628529666198	-4.46404084078185	-4.43241409573735	-4.35803873767889	-2.7531576653164	-2.60753579858949	-4.41835546346986	-2.73829477651943	-3.06572922863203	-4.66297983505674	-3.49686149047196	-4.62345315765706	-4.69098134130224	-4.58815329187078
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	3.53850380862538	2.37631938653944	1.88734735785851	2.25946133202805	3.29918579024813	3.31969115147098	3.22357240401465	3.56163664259335	3.65470089491772	3.06828967705367	3.81268549125204	3.83417658579917	4.46121329918022	3.62934525707038
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-4.33795923268588	-3.6422738279568	-4.66455590071751	-4.40629759710389	-2.86473854821676	-2.52726642140344	-4.29466249697134	-2.78238278714646	-3.21415912565692	-4.85918085859242	-3.70769652988997	-4.6198120100196	-4.27084930709799	-4.68841895608697
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-4.50634108863693	-4.26555722026579	-4.36542299519779	-4.33324546006013	-2.81055671873334	-2.71651539815089	-4.31226476639937	-2.78873821123829	-3.12452533847664	-5.04780140288467	-3.9508484271877	-4.60913984582824	-4.5760626077012	-4.7326499400975
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	-0.157894477902583	0.164388661813521	-0.345774828387285	0.166226468215877	-0.302682286876178	-0.549424352945894	-0.351017903697155	0.390114514108624	-0.15904754124209	-0.538627614775444	-0.0156214011362655	0.437629173765878	-0.08119456507156	-0.174845043554547
