#taxonomy	MCT.f.0086	MCT.f.0412	MCT.f.0414	MCT.f.0415	MCT.f.0416	MCT.f.0418	MCT.f.0419	MCT.f.0420	MCT.f.0421	MCT.f.0422	MCT.f.0423	MCT.f.0424	MCT.f.0425
k__Bacteria;NA;NA;NA;NA;NA;NA	0.894014250573862	0.830347324566535	0.761234578465423	0.657499052593282	0.667517040316836	0.800427881712669	1.09894705300249	0.70290088983266	0.873100146724515	0.788111941486343	0.675076531738017	0.792474213046773	0.35532037077301
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	0.357709541506886	0.1449221901005	0.400221232928092	0.17691331401701	0.26948691069619	0.404012609124422	1.1333146965067	0.270036807536381	-0.0906929191346433	0.271421198267954	0.22309140799496	-0.539976916052294	-0.386616973956367
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	-2.78859559052648	-3.33631789923519	-3.65156371487521	-2.06379637525895	-3.26643628283677	-3.50911907047876	-2.76528528858931	-3.680536403327	-4.05569371290373	-2.56179214578826	-2.67833018608779	-4.64258711001806	-2.48879997418947
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	-3.9343341257272	-4.29396039402017	-4.02435132522321	-3.79707732559648	-3.27761664679255	-3.9167811712429	-3.63754557564221	-3.77969143092532	-4.01826691641471	-2.77590039091363	-4.01754808146667	-4.40619862241178	-2.44384333492863
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	-3.84994910782959	-4.3860438727385	-4.00178788206685	-3.50538685171214	-3.35251016758229	-3.62340366385268	-3.49857764839494	-3.57414646143796	-4.11381992090306	-3.08036391178076	-4.14167007478413	-4.40220923919981	-2.2881137449751
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense	-3.80451039559298	-4.40570772174648	-4.04103688115559	-3.38288092029026	-3.25430971029992	-3.60679257598243	-3.5618370804755	-3.83973501332982	-4.15962089369442	-2.96319841378741	-3.97051824410133	-4.4873507590998	-2.41504734540556
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	3.27809237781909	3.23421486173503	3.17606551962764	3.08949521923883	3.21975681017342	3.43427686622079	4.12803294259506	3.38046092417708	2.89961928695001	3.29184608441232	3.1310127842289	2.37167224029116	2.41674340695017
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	-3.48174277108642	-4.33126001977841	-4.26379370374308	-3.54300499259178	-3.30421900688403	-3.59565621965598	-3.4205378191384	-3.80473610804528	-3.99585157126102	-2.91649026124284	-3.86618222343861	-3.97396412053744	-0.743291917895099
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas carbonis	-3.48174277108642	-4.39204836465509	-3.885581563318	-3.4191089094789	-3.5071563988482	-3.55228022268116	-3.92750576119807	-3.72135668222138	-4.12168039113724	-3.36280107277497	-3.9218129869149	-4.27125009183199	-2.66847392466236
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA	1.06685706341327	2.35404155508887	1.4046820904731	1.79059751733256	1.19902286932037	1.372947074484	2.60844871724348	1.25086606054811	1.25068888530442	2.11103668867364	1.48988422470077	1.15888880628306	1.46968101640926
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	1.28894185337924	2.51803743390038	1.41103131815175	2.03054818696315	1.52541945395284	1.92003044627261	2.7427526089408	1.71368246512774	1.32226968906741	2.17878267720603	1.70369644858609	1.0917904727799	1.55929317509895
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	1.40483987433985	2.49409722635438	1.4988335215962	1.84421860877166	1.48670494177215	1.91108850889695	2.69430022555485	1.53463423367875	1.23645376948255	2.29802025857341	1.71858506107984	1.12284886979987	1.4216717972229
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	0.661391955305108	1.67598267418013	0.589763037695534	0.990204806419018	0.540361864831589	0.753907866077776	1.8918446363295	0.666199522982232	0.575055287237188	1.31977165215518	0.888381634051939	0.408062514136441	0.568894471071069
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	-3.79972882932646	-4.25386668134591	-3.9113911118444	-3.72502514946669	-3.38553144819964	-3.7847778238698	-3.43750757836389	-3.76019775939498	-4.0084928051547	-3.18413325884496	-4.14939466583427	-3.97396412053744	-2.70669654360233
