	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
M00001  Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	4.44784577074091	4.13502158659472	4.38518795116165	4.64661781585466	4.5583420913074	4.31931634746666	4.98491436940398	4.73136832654005	4.81257250589051	4.27425413125455	4.96835758188161	4.21188627414404	4.08798772748974	4.86119410536692	5.07577182094882	5.40633710490901	4.47259937162815	4.78816327387646	4.18939823153076	5.09146058361748	4.26186128769873	4.57394784237181	4.54572946165258	4.05769915177318	4.72905010368512	5.28030041627302	4.9195413830859	4.32025955321271	4.5116152728098	4.65495397311866	4.37882551696279	5.32613875698925
M00002  Glycolysis, core module involving three-carbon compounds	4.27298482397786	4.22013033558387	3.69391265167829	4.2906623329061	4.0735990228357	4.25000043326297	3.80669428925259	4.14005040727708	4.54037095312599	3.6091497704092	4.52053818367759	4.12172934001268	3.68338866540146	3.64360562333373	4.31230408239413	4.56654104863257	4.22617863492892	4.51593067948492	4.43697916919838	5.20356299278197	4.15823061363664	3.64010545345961	3.42939578603811	4.36115202443596	4.13230406489162	5.27702020393405	3.99079025190563	4.40361044115149	4.58628044077886	4.87868047038754	4.16299640138039	5.14367589771215
M00003  Gluconeogenesis, oxaloacetate => fructose-6P	3.88091193175603	4.59310323503498	4.75084239705421	4.30592415412195	3.6269946893062	3.9691272003493	4.06673523254859	3.91814714556269	3.90680355909268	3.77525166588996	4.40305331980809	4.70987914599845	4.23240200161279	4.11302551170939	3.50979694327554	4.4955176373032	4.34144850840086	4.72080506940528	4.2695288778666	4.6970672130326	4.70611421837335	4.27119396820527	3.93103827405886	4.38227483139542	3.97551450199257	5.4858576939981	4.40177029581008	3.91240862912408	4.82299390464652	4.57923563502712	4.42114873245531	4.57110620220776
M00004  Pentose phosphate pathway (Pentose phosphate cycle)	3.43572075189628	3.69869497919571	3.63303418870159	4.22054267766105	2.96423451283471	3.76738123881516	4.12739402488281	4.25202762537403	3.37972030032771	4.07513458605744	3.68320698857473	4.06356477509213	3.21935653119012	4.29491366438752	3.64810413834821	3.44234813906977	4.69462683379728	4.53741021550751	3.90960438150672	3.497262515675	4.56281218267427	3.80430618725991	3.64280060550267	3.73765123872709	2.39452534828744	4.00951199038785	4.08387265881024	4.6052681890699	4.09986557159608	3.8288186223163	3.70564411563026	4.23935696640904
M00005  PRPP biosynthesis, ribose 5P => PRPP	1.81295352957578	1.71059356050715	1.43245640569363	1.51322494677898	2.51304969779795	2.27132367446586	1.85846357505221	1.5768020748595	2.56582695494277	2.18326102932342	2.99059861961499	2.80040980877717	1.4294373631813	2.5250100026841	1.7666926325637	3.00737393620317	2.10377336909573	1.96866970025813	2.12001814979678	3.53585536339736	2.85617992291632	1.50993623562489	1.88450929938855	1.62247556159602	2.07156921393917	2.66598716833038	1.7608595972484	2.26308466028948	3.02431507244214	2.6894431509326	2.08857305403324	2.42144872244894
M00006  Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	2.87496555203013	2.8338832301623	2.44470167670797	2.89518165340142	1.72091772151962	2.84857080156388	2.95483341060633	2.32955302268085	2.77231001676869	2.79959855020748	0.93454757248319	2.4740463513731	2.98546397403434	3.52106409175704	1.73204055425483	2.55504978845923	3.10893100512202	2.36774130205057	2.10165798115574	2.06426550836845	3.2729852147303	2.61406468601267	2.16900452453986	2.23182816911491	2.28277358880203	1.54909281879024	2.2809389370378	1.94846379829714	1.10458313722583	1.89905758219159	2.48167500227216	3.14786877373065
M00007  Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	2.62535688335307	3.75198670940924	2.79650688063427	3.26903946877731	2.89185196685182	2.4852367392889	3.44707158312071	3.77551452889368	3.46970738626176	2.65180635104327	2.64335445674775	2.41758141319418	2.96899933564576	3.65317336455684	2.65223263588158	3.48330341998042	3.57973395940943	3.64576681312598	2.90441017453355	2.42305337083817	3.38950930318817	2.91528977273218	3.0756055415075	2.69844048457463	1.95169020110173	3.47304469259426	3.07589214074958	3.36181310102127	3.19235311217719	3.48189705572904	3.53528379372406	3.6945412383513
M00008  Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	3.36823230887645	3.18266265537317	2.19714224436484	2.65953498734867	1.89856054895758	2.27043558433193	2.29696566081415	3.12634797382198	2.74127621812205	3.05395788338991	2.37817589272398	2.00491666989378	1.70799227721289	2.73120967544997	2.26131273948807	2.92269565808252	3.5176946764448	2.3710238159077	2.9804452662764	2.7290298436931	2.94187993638564	3.25548784336189	2.78492568812708	2.15802487326228	2.03599335947343	2.08080162665841	2.804057961699	2.46753408668816	2.05932289629591	1.78007498699262	2.48236466210184	3.7195881578546
M00009  Citrate cycle (TCA cycle, Krebs cycle)	4.27399787613701	4.60016192702216	3.72604210669745	3.58380028515273	4.5835966788596	4.21797983054671	3.87603377743683	3.46148236621302	4.29131827385601	4.08989213138668	4.23904636364631	4.39831859997861	4.07817951951347	4.12435135764588	4.26839150554364	4.97430042393928	4.43655574498526	4.14649984209927	3.99931967738343	4.93057840250332	4.77292267141192	3.97024424441874	3.14423191044053	4.107815052983	4.69734211469225	5.5076026631167	4.73924147637652	3.84596425776019	4.30731441732227	4.32597677268399	4.23619037343489	4.01644310634762
M00010  Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	2.59660589507987	2.51864067473569	2.87059566541496	2.86198821185917	2.95502435749493	2.31046690148604	3.30642231080642	2.93201921951454	2.62983512221656	2.50131706552722	2.17981593452372	3.06390668735331	2.73418546944793	3.44921762135071	2.09645078273319	2.85891062955588	3.19138935252721	3.14582972945386	3.58912924075261	3.96458677370137	2.88282498933858	2.83548553789789	2.33662707400438	1.70234419461451	1.81215919189686	3.85660915577868	2.88487569939453	2.58470840084459	2.46035562350397	3.93495099234947	3.33568234144842	3.31009551562399
M00011  Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	4.19471711006457	4.67134674480156	4.40965160855454	4.40904361220206	4.73197000666987	3.70587443432987	4.32374458270687	4.26322304103595	4.87036336463695	4.39632332045062	5.40002169440849	5.23331549108586	4.31815254100436	4.015299870635	3.84066349870213	4.7119170930938	3.99410947859664	4.15312755326765	4.53745368549313	5.00486199999558	4.70088550066403	4.18089678720461	4.25934848764647	3.93860256140375	4.25865728895404	4.20066509223017	4.11170485241562	4.97017029225522	4.71362631132049	4.59725857557993	4.28453584457859	5.00523044657505
M00012  Glyoxylate cycle	3.00795457856486	2.9656208702963	2.07047440672089	2.67818765714524	3.25080778400563	2.88240259342604	4.03202683815542	2.98853762572064	2.47961101345516	2.46735328586024	2.66356627991029	2.65289772786442	2.69381169157176	3.13967272549701	2.11066776057317	3.64685027343859	3.2143147274254	2.56266379046906	2.65263709220488	3.78222986016114	3.23584918258445	3.07278597850921	2.0125558763722	2.36476586294845	2.84946414326476	3.7005918998896	2.92571210334492	3.0386523087613	3.05463658817365	3.44391427974878	2.45728214120154	3.95148602681778
M00013  Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA	-2.51259604547463	-3.21269796569943	-2.04018072078666	-1.26040919511779	-3.38803694735025	-2.35148218094916	-3.25349293920503	-2.24734335610815	-2.03075947475734	-2.59051277994399	-1.81446402514952	-2.20388429511748	-1.25105441764373	-4.06072085602888	-2.61901800177346	-3.21126980771201	-2.32138002423265	-2.8297452777332	-3.5738266588624	-2.75154212198126	-2.14316070994831	-1.97570443703271	-2.56886336421102	-2.62114470596442	-0.758862482087098	-3.46112373185595	-0.748682738861236	-1.10006378951122	-1.62141059900137	-0.825188251066975	0.98492759545076	-2.27887684352395
